work,decided,conditions_pct,refused_pct
"rear extension",133219,26.9,22.8
dormer,74319,15.8,18.6
"rooflight / skylight",46098,15.5,17.0
"roof extension",44988,23.8,18.2
windows,39827,20.4,18.3
"side extension",33393,39.8,20.0
"loft conversion",23675,9.4,18.7
"hip to gable",22087,9.8,17.8
garage,19491,30.0,23.1
"change of use",19140,20.3,32.4
landscaping,15273,24.4,14.8
"basement / cellar",12275,39.5,15.6
balcony,11659,13.8,18.0
porch,9784,31.2,22.1
"terrace / patio",8648,38.5,20.3
outbuilding,8165,22.3,22.7
conservatory,7248,31.6,15.5
"tree works",5047,31.0,16.7
chimney,4495,18.1,17.8
"subdivide into flats",2205,30.1,40.6
"bike / cycle store",1940,25.9,30.1
"bay window",1515,40.3,22.0
solar,1464,25.5,23.4
"boundary wall / fence",1291,28.2,18.5
"bin / refuse store",1159,15.3,27.6
shopfront,1158,33.8,21.7
"cladding / render",1087,24.6,22.3
gate,1057,36.0,15.3
decking,826,40.2,16.9
"dropped kerb / crossover",780,17.4,26.5
"new dwelling",633,24.2,25.9
"heat pump",620,29.0,14.5
"driveway / hardstanding",605,39.5,18.8
"door alterations",559,26.3,18.4
"air conditioning",450,43.3,13.8
"garden room / office",426,29.3,17.4
annexe,398,24.6,25.6
"swimming pool",377,41.9,16.7
"EV charger",239,21.8,14.6
"summer house",51,27.5,17.6
